run_id,harness_version,seed,torch_version,numpy_version,ticker,as_of_date,history_mode,fh,horizon_step,forecast_date,last_close,pred,lower,upper,actual,signed_err,abs_err,sq_err,ape,smape_term,in_interval,interval_width,norm_width,dir_pred,dir_actual,dir_eligible,dir_hit,status,skip_reason,device,model_meta_json
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,1.0,2024-09-24,226.47000122070312,223.5914550212435,223.5914550212435,234.2380379995437,227.3699951171875,-3.7785400959440096,3.7785400959440096,14.277365256656566,0.016618464076566187,0.016757707758763486,1.0,10.646582978300216,0.04701100773132747,-1.0,1.0,1.0,0.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,2.0,2024-09-25,226.47000122070312,223.58058163458165,223.58058163458165,234.2181494209052,226.3699951171875,-2.789413482605852,2.789413482605852,7.780827576943307,0.012322364018083867,0.012398755004351194,1.0,10.637567786323558,0.04697120028695045,-1.0,-1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,3.0,2024-09-26,226.47000122070312,223.57753356710165,223.57753356710165,234.19984966902464,227.5200042724609,-3.9424707053592556,3.9424707053592556,15.543075262615906,0.01732801789436523,0.017479460093002927,1.0,10.62231610192299,0.04690385501244009,-1.0,1.0,1.0,0.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,1.0,2024-10-01,233.0,227.52729332763192,226.59502211384915,233.72234946545996,226.2100067138672,1.317286613764736,1.317286613764736,1.735244022803765,0.0058232906355507544,0.005806384503298522,0.0,7.127327351610802,0.030589387775153656,-1.0,-1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,2.0,2024-10-02,233.0,227.53202124454856,226.61353030519726,233.7444882036522,226.77999877929688,0.7520224652516845,0.7520224652516845,0.565537788243221,0.0033160881440146557,0.003310599024926583,1.0,7.1309578984549375,0.030604969521265825,-1.0,-1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,3.0,2024-10-03,233.0,227.55195743125478,226.62863957651783,233.76466317071885,225.6699981689453,1.881959262309465,1.881959262309465,3.5417706649923857,0.008339430485130582,0.008304801826368688,0.0,7.136023594201021,0.03062671070472541,-1.0,-1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,1.0,2024-10-08,221.69000244140625,226.73439123759454,219.20025695564394,226.73439123759454,225.7700042724609,0.9643869651336274,0.9643869651336274,0.9300422185196483,0.004271546028629198,0.004262442419135338,1.0,7.5341342819506,0.033984997965534815,1.0,1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,2.0,2024-10-09,221.69000244140625,226.75704412647337,219.20162546147355,226.75704412647337,229.5399932861328,-2.782949159659438,2.782949159659438,7.744806025249172,0.012124027363677561,0.012197971634617293,0.0,7.55541866499982,0.03408100763135114,1.0,1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,3.0,2024-10-10,221.69000244140625,226.7640661109026,219.2107467232384,226.7640661109026,229.0399932861328,-2.2759271752302084,2.2759271752302084,5.179844506951356,0.00993681122050576,0.009986427844635432,0.0,7.553319387664203,0.03407153820416679,1.0,1.0,1.0,1.0,scored,,,
20260614T083727Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-14,replay,3,1.0,2024-10-15,231.3000030517578,227.5861053250892,221.64161423008122,227.5861053250892,233.8500061035156,-6.263900778426404,6.263900778426404,39.236452961970905,0.026785976544527596,0.027149590694293024,0.0,5.944491095007976,0.025700350266220195,-1.0,1.0,1.0,0.0,scored,,,
