run_id,harness_version,seed,torch_version,numpy_version,ticker,as_of_date,history_mode,fh,horizon_step,forecast_date,last_close,pred,lower,upper,actual,signed_err,abs_err,sq_err,ape,smape_term,in_interval,interval_width,norm_width,dir_pred,dir_actual,dir_eligible,dir_hit,status,skip_reason,device,model_meta_json
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,1.0,2024-09-24,226.47000122070312,226.9762181063698,223.50549685817026,231.75202138677605,227.3699951171875,-0.39377701081770056,0.39377701081770056,0.15506033424852347,0.001731877641175768,0.0017333786410318151,1.0,8.24652452860579,0.03641331957502511,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,2.0,2024-09-25,226.47000122070312,227.4841330465587,224.01832428577697,232.27895454876716,226.3699951171875,1.1141379293711964,1.1141379293711964,1.241303325663537,0.004921756210642793,0.004909674101143027,1.0,8.26063026299019,0.03647560479738732,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-23,replay,3,3.0,2024-09-26,226.47000122070312,227.99307320128457,224.5216127847816,232.80066202864734,227.5200042724609,0.4730689288236647,0.4730689288236647,0.22379421141836953,0.00207924103349239,0.0020770816567870372,1.0,8.279049243865728,0.036556935573102675,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,1.0,2024-10-01,233.0,233.58214669063298,230.31763451479623,238.23707871333815,226.2100067138672,7.372139976765794,7.372139976765794,54.34844783702837,0.03258980486257094,0.03206727179739488,0.0,7.919444198541925,0.03398903089502972,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,2.0,2024-10-02,233.0,234.1737533500164,230.8802971573848,238.79938226045064,226.77999877929688,7.393754570719523,7.393754570719523,54.667606652035836,0.03260320403262349,0.032080244651725154,0.0,7.919085103065839,0.03398748971272893,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-09-30,replay,3,3.0,2024-10-03,233.0,234.7707059150746,231.46102944022172,239.3993973295043,225.6699981689453,9.100707746129274,9.100707746129274,82.82288148045737,0.04032750396584012,0.03953042233411494,0.0,7.938367889282574,0.03407024845185654,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,1.0,2024-10-08,221.69000244140625,221.43992917392742,219.54823491266993,226.12777713410225,225.7700042724609,-4.330075098533484,4.330075098533484,18.749550358939764,0.019179142563632668,0.01936484310696813,1.0,6.57954222143232,0.029679020925498546,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,2.0,2024-10-09,221.69000244140625,221.1700478493317,219.31909274979625,225.8693324926758,229.5399932861328,-8.369945436801117,8.369945436801117,70.05598661502785,0.03646399617328372,0.03714115361492674,0.0,6.5502397428795405,0.029546843207829368,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-07,replay,3,3.0,2024-10-10,221.69000244140625,220.8972889286384,219.0544987620177,225.59846794386604,229.0399932861328,-8.14270435749441,8.14270435749441,66.30363425355844,0.03555145213142742,0.0361948417228853,0.0,6.543969181848354,0.029518557940284008,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-14,replay,3,1.0,2024-10-15,231.3000030517578,232.91315639760563,226.0464692944117,236.0475626232027,233.8500061035156,-0.9368497059099639,0.9368497059099639,0.8776873714635858,0.0040061991937484056,0.0040142401165075385,1.0,10.001093328791,0.043238621689741456,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-14,replay,3,2.0,2024-10-16,231.3000030517578,234.55748201117066,227.6227654401987,237.67820527596928,231.77999877929688,2.777483231873788,2.777483231873788,7.714413103340061,0.011983273994744187,0.011911902200808743,1.0,10.055439835770585,0.04347358280631102,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-14,replay,3,3.0,2024-10-17,231.3000030517578,236.21271006954123,229.23038795994822,239.35598135841315,232.1499938964844,4.0627161730568275,4.0627161730568275,16.505662702817514,0.017500393193498817,0.01734858962361585,1.0,10.125593398464929,0.043776883981273156,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-21,replay,3,1.0,2024-10-22,236.47999572753903,237.97093870219697,234.26010803746726,239.53431950749413,235.8600006103516,2.1109380918453837,2.1109380918453837,4.45605962760383,0.00894996220801645,0.008910089724862671,1.0,5.27421147002687,0.022302992072545387,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-21,replay,3,2.0,2024-10-23,236.47999572753903,239.47142507388546,235.7397210082388,241.03913943308999,230.75999450683597,8.71143056704949,8.71143056704949,75.8890225245242,0.03775104339756528,0.03705167372617073,0.0,5.299418424851183,0.02240958440711797,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-21,replay,3,3.0,2024-10-24,236.47999572753903,240.98176957060966,237.22913888037098,242.55366696148926,230.57000732421875,10.411762246390907,10.411762246390907,108.40479307537103,0.04515662018325863,0.04415957168034624,0.0,5.324528081118274,0.022515765296498656,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-28,replay,3,1.0,2024-10-29,233.3999938964844,233.9435029036722,227.9482613253069,237.2711669534837,233.6699981689453,0.27350473472688464,0.27350473472688464,0.07480483991802353,0.0011704743307659827,0.0011697897263424437,1.0,9.322905628176784,0.03994389833751067,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-28,replay,3,2.0,2024-10-30,233.3999938964844,234.50957246725224,228.48235925852137,237.8082433807684,230.1000061035156,4.409566363736644,4.409566363736644,19.44427551619761,0.01916369511851687,0.01898181426780461,1.0,9.325884122247032,0.03995665966633731,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-10-28,replay,3,3.0,2024-10-31,233.3999938964844,235.0792963786018,229.03415493880547,238.3830633640534,225.91000366210935,9.169292716492464,9.169292716492464,84.07592892072175,0.040588254472373235,0.03978093511360329,0.0,9.348908425247942,0.04005530706823536,1.0,-1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-04,replay,3,1.0,2024-11-05,222.00999450683597,221.07455201980156,217.1127524735905,226.30025544233914,223.4499969482422,-2.375444928440629,2.375444928440629,5.642738608054306,0.01063076733445136,0.010687575900836903,1.0,9.187502968748646,0.041383285419908204,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-04,replay,3,2.0,2024-11-06,222.00999450683597,220.13404631395076,216.20102813225523,225.3426778219809,222.72000122070312,-2.585954906752363,2.585954906752363,6.687162779756623,0.0116107888495826,0.01167858765725748,1.0,9.141649689725682,0.04117674841636104,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-04,replay,3,3.0,2024-11-07,222.00999450683597,219.19328269579384,215.2828356472897,224.38136920328236,227.47999572753903,-8.286713031745194,8.286713031745194,68.66961287049563,0.03642831540084293,0.03710413598501182,0.0,9.098533555992674,0.04098254034104991,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-11,replay,3,1.0,2024-11-12,224.22999572753903,223.29370424665913,219.70677811763554,229.20549483185314,224.22999572753903,-0.9362914808799019,0.9362914808799019,0.8766417371682796,0.00417558533077611,0.004184321326150474,1.0,9.498716714217608,0.04236148996657637,-1.0,0.0,0.0,,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-11,replay,3,2.0,2024-11-13,224.22999572753903,222.35247449812678,218.78356892153153,228.2575705440091,225.1199951171875,-2.7675206190607184,2.7675206190607184,7.659170376926222,0.012293535354867388,0.012369568216967254,1.0,9.474001622477573,0.04225126790792698,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-11,replay,3,3.0,2024-11-14,224.22999572753903,221.41530396893276,217.8610292333617,227.29692349269106,228.22000122070312,-6.804697251770364,6.804697251770364,46.30390468825114,0.029816393021529223,0.03026762877928569,0.0,9.435894259329359,0.04208132024760361,-1.0,1.0,1.0,0.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-18,replay,3,1.0,2024-11-19,228.0200042724609,228.46141225556585,224.770365146147,232.45834695284515,228.27999877929688,0.18141347626897186,0.18141347626897186,0.03291084937199282,0.0007946972018532557,0.0007943815554535943,1.0,7.687981806698161,0.033716260251937365,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-18,replay,3,2.0,2024-11-20,228.0200042724609,228.90919579269342,225.19328405167096,232.91587116069113,229.0,-0.09080420730657579,0.09080420730657579,0.008245404064575593,0.00039652492273613884,0.0003966035543330082,1.0,7.722587109020168,0.03386802457819646,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-18,replay,3,3.0,2024-11-21,228.0200042724609,229.35825058974066,225.63195578030292,233.37477705183156,228.5200042724609,0.8382463172797543,0.8382463172797543,0.7026568884330705,0.0036681529039371366,0.00366143754755082,1.0,7.742821271528641,0.0339567631192426,1.0,1.0,1.0,1.0,scored,,,
20260614T145759Z,1.0.0,42,2.6.0+cu124,1.26.4,AAPL,2024-11-25,replay,3,1.0,2024-11-26,232.8699951171875,233.60227538604505,230.04326898958902,236.75309572277263,235.05999755859372,-1.4577221725486709,1.4577221725486709,2.124953932340017,0.006201489780009474,0.006220778828172781,1.0,6.709826733183604,0.028813616497939155,1.0,1.0,1.0,1.0,scored,,,
