Date,Open,High,Low,Close,Adj Close,Volume
"Feb 23, 2026",20.49,22.04,19.50,21.01,21.01,-
"Feb 20, 2026",20.04,21.21,18.76,19.09,19.09,-
"Feb 19, 2026",19.34,21.11,19.23,20.23,20.23,-
"Feb 18, 2026",19.78,20.34,18.48,19.62,19.62,-
"Feb 17, 2026",21.74,22.96,19.76,20.33,20.33,-
"Feb 13, 2026",21.48,22.40,18.92,20.60,20.60,-
"Feb 12, 2026",17.44,21.21,17.08,20.82,20.82,-
"Feb 11, 2026",17.87,18.96,16.75,17.65,17.65,-
"Feb 10, 2026",17.47,17.97,17.14,17.79,17.79,-
"Feb 9, 2026",17.95,19.20,16.90,17.36,17.36,-
"Feb 6, 2026",21.24,21.49,19.99,20.37,20.37,-
"Feb 5, 2026",19.24,23.10,19.06,21.77,21.77,-
"Feb 4, 2026",17.63,21.24,17.47,18.64,18.64,-
"Feb 3, 2026",16.16,20.37,16.05,17.94,17.94,-
"Feb 2, 2026",19.95,19.96,16.08,16.34,16.34,-
"Jan 30, 2026",18.72,19.27,16.67,17.44,17.44,-
"Jan 29, 2026",16.04,19.74,16.02,16.88,16.88,-
"Jan 28, 2026",16.09,17.18,16.05,16.35,16.35,-
"Jan 27, 2026",16.02,16.37,15.74,16.35,16.35,-
"Jan 26, 2026",16.90,17.39,15.80,16.15,16.15,-
"Jan 23, 2026",15.68,16.21,15.30,16.09,16.09,-
"Jan 22, 2026",16.65,16.67,15.27,15.64,15.64,-
"Jan 21, 2026",19.31,20.81,16.67,16.90,16.90,-
"Jan 20, 2026",19.94,20.99,18.64,20.85,20.85,-
"Jan 16, 2026",15.44,16.29,15.30,15.86,15.86,-
"Jan 15, 2026",16.52,16.54,15.30,15.84,15.84,-
"Jan 14, 2026",16.33,18.10,16.22,16.75,16.75,-
"Jan 13, 2026",15.36,16.50,14.75,16.04,16.04,-
"Jan 12, 2026",16.06,16.66,15.03,15.12,15.12,-
"Jan 9, 2026",15.68,15.81,14.43,14.49,14.49,-
"Jan 8, 2026",15.69,15.85,15.15,15.45,15.45,-
"Jan 7, 2026",14.95,15.48,14.83,15.38,15.38,-
"Jan 6, 2026",15.00,15.21,14.63,14.75,14.75,-
"Jan 5, 2026",15.14,15.27,14.65,14.90,14.90,-
"Jan 2, 2026",14.85,15.42,14.46,14.51,14.51,-
"Dec 31, 2025",14.77,15.17,14.38,14.95,14.95,-
"Dec 30, 2025",14.43,14.62,14.04,14.33,14.33,-
"Dec 29, 2025",14.69,15.08,13.99,14.20,14.20,-
"Dec 26, 2025",14.12,14.29,13.52,13.60,13.60,-
"Dec 24, 2025",14.09,14.16,13.38,13.47,13.47,-
"Dec 23, 2025",14.09,14.45,13.64,14.00,14.00,-
"Dec 22, 2025",15.16,15.26,14.03,14.08,14.08,-
"Dec 19, 2025",16.31,16.53,14.91,14.91,14.91,-
"Dec 18, 2025",17.61,17.68,15.93,16.87,16.87,-
"Dec 17, 2025",16.45,18.00,15.82,17.62,17.62,-
"Dec 16, 2025",17.28,17.61,16.19,16.48,16.48,-
"Dec 15, 2025",16.51,17.35,15.99,16.5,16.5,-
"Dec 12, 2025",14.99,17.85,14.85,15.74,15.74,-
"Dec 11, 2025",16.84,16.88,14.85,14.85,14.85,-
"Dec 10, 2025",16.94,17.66,15.56,15.77,15.77,-
"Dec 9, 2025",16.66,17.20,16.45,16.94,16.94,-
"Dec 8, 2025",16.15,17.09,16.10,16.66,16.66,-
"Dec 5, 2025",15.58,16.18,15.28,15.41,15.41,-
"Dec 4, 2025",16.23,16.63,15.68,15.78,15.78,-
"Dec 3, 2025",16.43,17.28,15.93,16.08,16.08,-
"Dec 2, 2025",17.28,17.31,16.39,16.59,16.59,-
"Dec 1, 2025",18.05,18.33,16.58,17.24,17.24,-
"Nov 28, 2025",17.41,18.52,15.78,16.35,16.35,-
"Nov 26, 2025",18.25,18.70,16.93,17.19,17.19,-
"Nov 25, 2025",20.55,21.77,18.47,18.47,18.47,-
"Nov 24, 2025",22.69,23.68,20.41,20.52,20.52,-
"Nov 21, 2025",25.97,27.84,22.54,23.43,23.43,-
"Nov 20, 2025",20.78,28.27,19.28,26.42,26.42,-
"Nov 19, 2025",24.52,24.79,21.93,23.66,23.66,-
"Nov 18, 2025",23.54,25.84,22.91,24.69,24.69,-
"Nov 17, 2025",19.58,23.44,19.54,22.38,22.38,-
"Nov 14, 2025",21.33,23.03,19.56,19.83,19.83,-
"Nov 13, 2025",17.61,21.31,17.51,20.00,20.00,-
