Date,Open,High,Low,Close,Adj Close,Volume
"Feb 12, 2026",275.59,275.72,260.18,261.73,261.73,81077200
"Feb 11, 2026",274.70,280.18,274.45,275.50,275.50,51931300
"Feb 10, 2026",274.89,275.36,272.94,273.68,273.68,32032449
"Feb 9, 2026",277.91,278.20,271.70,274.62,274.62,44623400
"Feb 6, 2026",277.12,280.91,276.93,278.12,277.86,50453400
"Feb 5, 2026",278.13,279.50,273.23,275.91,275.65,52977400
"Feb 4, 2026",272.29,278.95,272.29,276.49,276.23,90545700
"Feb 3, 2026",269.20,271.88,267.61,269.48,269.48,63714867
"Feb 2, 2026",260.03,270.49,259.21,270.01,270.01,73913400
"Jan 30, 2026",255.17,261.90,252.18,259.48,259.48,92443400
"Jan 29, 2026",258.00,259.65,254.41,258.28,258.28,67253000
"Jan 28, 2026",257.65,258.86,254.51,256.44,256.44,41288000
"Jan 27, 2026",259.17,261.95,258.21,258.27,258.27,42113358
"Jan 26, 2026",251.48,256.56,249.80,255.41,255.41,55969200
"Jan 23, 2026",247.32,249.41,244.68,248.04,248.04,41689000
"Jan 22, 2026",249.20,251.00,248.15,248.35,248.35,39708300
"Jan 21, 2026",248.70,251.56,245.18,247.65,247.65,54641700
"Jan 20, 2026",252.51,254.79,243.42,246.70,246.70,67309453
"Jan 16, 2026",257.90,258.90,254.93,255.53,255.53,72018600
"Jan 15, 2026",260.65,261.04,257.05,258.21,258.21,39388600
"Jan 14, 2026",259.49,261.82,256.71,259.96,259.96,40019400
"Jan 13, 2026",259.41,261.81,258.39,261.05,261.05,41482227
"Jan 12, 2026",259.16,261.30,256.80,260.25,260.25,45263800
"Jan 9, 2026",259.08,260.21,256.22,259.37,259.37,39997000
"Jan 8, 2026",257.02,259.29,255.70,259.04,259.04,50419300
"Jan 7, 2026",263.20,263.68,259.81,260.33,260.33,48309800
"Jan 6, 2026",267.00,267.55,262.12,262.36,262.36,52352100
"Jan 5, 2026",270.64,271.51,266.14,267.26,267.26,45647200
"Jan 2, 2026",272.26,277.84,269.00,271.01,271.01,37838100
"Dec 31, 2025",273.06,273.68,271.75,271.86,271.86,27293600
"Dec 30, 2025",272.81,274.08,272.28,273.08,273.08,22139600
"Dec 29, 2025",272.69,274.36,272.35,273.76,273.76,23715200
"Dec 26, 2025",274.16,275.37,272.86,273.40,273.40,21521800
"Dec 24, 2025",272.34,275.43,272.20,273.81,273.81,17910600
"Dec 23, 2025",270.84,272.50,269.56,272.36,272.36,29642000
"Dec 22, 2025",272.86,273.88,270.51,270.97,270.97,36571800
"Dec 19, 2025",272.15,274.60,269.90,273.67,273.67,144632000
"Dec 18, 2025",273.61,273.63,266.95,272.19,272.19,51630700
"Dec 17, 2025",275.01,276.16,271.64,271.84,271.84,50138700
