Date,Open,High,Low,Close,Adj Close,Volume
"Apr 10, 2026",611.8400268554688,613.6699829101562,609.5800170898438,611.0700073242188,611.0700073242188,33831300
"Apr 9, 2026",605.9299926757812,610.5,603.030029296875,610.1900024414062,610.1900024414062,37837500
"Apr 8, 2026",608.7100219726562,609.9000244140625,602.1199951171875,606.0900268554688,606.0900268554688,63086000
"Apr 7, 2026",585.6400146484375,588.97998046875,578.4000244140625,588.5900268554688,588.5900268554688,49948200
"Apr 6, 2026",586.22998046875,590.6099853515625,584.6900024414062,588.5,588.5,35108500
"Apr 2, 2026",573.969970703125,586.0499877929688,571.9199829101562,584.97998046875,584.97998046875,50941700
"Apr 1, 2026",581.47998046875,587.739990234375,580.4199829101562,584.3099975585938,584.3099975585938,79435100
"Mar 31, 2026",564.2899780273438,578.6400146484375,564.2100219726562,577.1799926757812,577.1799926757812,95878000
"Mar 30, 2026",567.3800048828125,568.0499877929688,555.5999755859375,558.280029296875,558.280029296875,70602600
"Mar 27, 2026",570.8099975585938,571.02001953125,561.5700073242188,562.5800170898438,562.5800170898438,82702200
"Mar 26, 2026",582.5999755859375,584.6300048828125,573.4299926757812,573.7899780273438,573.7899780273438,81492100
"Mar 25, 2026",589.1400146484375,591.3699951171875,585.6900024414062,587.8200073242188,587.8200073242188,60475500
"Mar 24, 2026",584.8099975585938,587.9299926757812,581.9299926757812,583.97998046875,583.97998046875,57750900
"Mar 23, 2026",590.52001953125,595.0800170898438,585.9600219726562,588.0,588.0,89936100
"Mar 20, 2026",591.0599975585938,591.1699829101562,578.5399780273438,582.0599975585938,581.3269653320312,91964700
"Mar 19, 2026",589.510009765625,595.7999877929688,587.0800170898438,593.02001953125,592.273193359375,75597600
"Mar 18, 2026",601.489990234375,603.1599731445312,594.5599975585938,594.9000244140625,594.15087890625,56128000
"Mar 17, 2026",603.1400146484375,605.9000244140625,601.8699951171875,603.3099975585938,602.5502319335938,47106600
"Mar 16, 2026",600.0399780273438,603.8599853515625,599.1099853515625,600.3800048828125,599.6239013671875,49077200
"Mar 13, 2026",599.72998046875,603.5999755859375,592.5700073242188,593.719970703125,592.9722900390625,63145500
"Mar 12, 2026",602.760009765625,604.1400146484375,597.0499877929688,597.260009765625,596.5078735351562,71836600
"Mar 11, 2026",608.9500122070312,612.4299926757812,605.030029296875,607.6900024414062,606.9247436523438,60114800
"Mar 10, 2026",607.780029296875,613.2899780273438,605.4199829101562,607.77001953125,607.004638671875,64078900
"Mar 9, 2026",594.22998046875,609.27001953125,591.3300170898438,607.760009765625,606.99462890625,93068200
"Mar 6, 2026",600.3099975585938,606.0,598.3300170898438,599.75,598.9946899414062,86302300
"Mar 5, 2026",607.4000244140625,612.760009765625,602.260009765625,608.9099731445312,608.1431274414062,89602400
"Mar 4, 2026",604.1599731445312,612.8800048828125,603.4299926757812,610.75,609.9808959960938,70943900
