Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^TNX,"May 12, 2026",4.436999797821045,4.4670000076293945,4.422999858856201,4.463000297546387,4.463000297546387,0
^TNX,"May 11, 2026",4.392000198364258,4.409999847412109,4.377999782562256,4.409999847412109,4.409999847412109,0
^TNX,"May 8, 2026",4.372000217437744,4.388000011444092,4.3460001945495605,4.363999843597412,4.363999843597412,0
^TNX,"May 7, 2026",4.334000110626221,4.395999908447266,4.314000129699707,4.392000198364258,4.392000198364258,0
^TNX,"May 6, 2026",4.366000175476074,4.372000217437744,4.3480000495910645,4.355999946594238,4.355999946594238,0
^DJI,"May 12, 2026",49739.62109375,49823.94140625,49307.66015625,49760.55859375,49760.55859375,498364244
^DJI,"May 11, 2026",49549.0703125,49771.23828125,49475.78125,49704.46875,49704.46875,493230000
^DJI,"May 8, 2026",49581.08984375,49830.69921875,49486.9609375,49609.16015625,49609.16015625,456510000
^DJI,"May 7, 2026",50002.390625,50130.19921875,49487.96875,49596.96875,49596.96875,482010000
^DJI,"May 6, 2026",49442.19140625,50011.53125,49442.19140625,49910.58984375,49910.58984375,552640000
^GSPC,"May 12, 2026",7390.6298828125,7409.56982421875,7338.5400390625,7400.9599609375,7400.9599609375,3217693000
^GSPC,"May 11, 2026",7385.31005859375,7428.97021484375,7384.2001953125,7412.83984375,7412.83984375,5821910000
^GSPC,"May 8, 2026",7362.97021484375,7401.5,7362.97021484375,7398.93017578125,7398.93017578125,5302740000
^GSPC,"May 7, 2026",7376.77978515625,7385.02001953125,7321.25,7337.10986328125,7337.10986328125,6237040000
^GSPC,"May 6, 2026",7294.14013671875,7369.22021484375,7294.14013671875,7365.1201171875,7365.1201171875,6579640000
^VIX,"May 12, 2026",18.770000457763672,19.100000381469727,17.920000076293945,17.989999771118164,17.989999771118164,0
^VIX,"May 11, 2026",18.209999084472656,18.469999313354492,17.899999618530273,18.3799991607666,18.3799991607666,0
^VIX,"May 8, 2026",17.3700008392334,17.530000686645508,16.81999969482422,17.190000534057617,17.190000534057617,0
^VIX,"May 7, 2026",17.530000686645508,17.600000381469727,16.850000381469727,17.079999923706055,17.079999923706055,0
^VIX,"May 6, 2026",17.149999618530273,17.459999084472656,16.18000030517578,17.389999389648438,17.389999389648438,0
AAPL,"May 12, 2026",292.7550048828125,295.2699890136719,292.614990234375,294.79998779296875,294.79998779296875,43943518
AAPL,"May 11, 2026",291.9800109863281,293.8800048828125,290.2300109863281,292.67999267578125,292.67999267578125,42247300
AAPL,"May 8, 2026",290.010009765625,294.760009765625,290.0,293.32000732421875,293.0500183105469,52692800
AAPL,"May 7, 2026",289.2699890136719,292.1300048828125,285.7799987792969,287.44000244140625,287.1754150390625,45224300
AAPL,"May 6, 2026",281.9200134277344,288.0299987792969,281.07000732421875,287.510009765625,287.245361328125,58336100
QQQ,"May 12, 2026",708.1749877929688,710.1799926757812,696.6599731445312,707.239990234375,707.239990234375,43812655
QQQ,"May 11, 2026",710.3599853515625,714.5900268554688,708.9099731445312,713.2899780273438,713.2899780273438,36019100
QQQ,"May 8, 2026",699.9199829101562,711.22998046875,699.5,711.22998046875,711.22998046875,44320400
QQQ,"May 7, 2026",696.5800170898438,701.239990234375,691.77001953125,694.9400024414062,694.9400024414062,43779100
QQQ,"May 6, 2026",687.780029296875,695.9299926757812,686.47998046875,695.77001953125,695.77001953125,38778500
