Date,Open,High,Low,Close,Adj Close,Volume
"May 12, 2026",49739.62109375,49823.94140625,49307.66015625,49760.55859375,49760.55859375,498364244
"May 11, 2026",49549.0703125,49771.23828125,49475.78125,49704.46875,49704.46875,493230000
"May 8, 2026",49581.08984375,49830.69921875,49486.9609375,49609.16015625,49609.16015625,456510000
"May 7, 2026",50002.390625,50130.19921875,49487.96875,49596.96875,49596.96875,482010000
"May 6, 2026",49442.19140625,50011.53125,49442.19140625,49910.58984375,49910.58984375,552640000
