Date,Open,High,Low,Close,Adj Close,Volume
"Oct 30, 2025",632.17,633.50,625.94,626.05,626.05,61628600
"Oct 29, 2025",635.59,637.01,630.25,635.77,635.77,67422800
"Oct 28, 2025",630.32,634.68,629.25,632.92,632.92,56408397
"Oct 27, 2025",624.52,628.55,624.03,628.09,628.09,54098600
"Oct 24, 2025",615.99,618.42,615.13,617.10,617.10,47632500
"Oct 23, 2025",604.91,611.37,604.52,610.58,610.58,42844300
"Oct 22, 2025",610.82,611.41,599.74,605.49,605.49,61478800
"Oct 21, 2025",611.63,612.72,609.33,611.38,611.38,42045589
"Oct 20, 2025",607.14,612.80,607.07,611.54,611.54,45761700
"Oct 17, 2025",597.95,605.51,596.37,603.93,603.93,72024900
"Oct 16, 2025",605.11,608.31,595.50,599.99,599.99,70982000
"Oct 15, 2025",604.01,606.70,595.93,602.22,602.22,62805500
"Oct 14, 2025",595.19,602.69,590.13,598.00,598.00,68076810
"Oct 13, 2025",599.68,602.95,597.23,602.01,602.01,65872600
"Oct 10, 2025",611.40,613.18,589.05,589.50,589.50,97614800
"Oct 9, 2025",611.48,611.61,607.48,610.70,610.70,45551000
"Oct 8, 2025",605.41,611.75,605.26,611.44,611.44,50629800
"Oct 7, 2025",609.02,609.71,603.05,604.51,604.51,57689889
"Oct 6, 2025",608.45,609.36,605.97,607.71,607.71,41962100
"Oct 3, 2025",606.51,607.33,601.39,603.18,603.18,46482100
"Oct 2, 2025",607.06,607.16,602.93,605.73,605.73,43765400
"Oct 1, 2025",597.17,603.79,596.34,603.25,603.25,46899600
"Sep 30, 2025",598.42,600.71,596.10,600.37,600.37,45085213
"Sep 29, 2025",599.11,602.05,597.41,598.73,598.73,48332900
"Sep 26, 2025",594.35,596.30,591.06,595.97,595.97,54337400
"Sep 25, 2025",592.20,595.12,588.50,593.53,593.53,70920200
"Sep 24, 2025",599.58,599.90,593.36,596.10,596.10,49850300
"Sep 23, 2025",602.35,602.57,596.99,598.20,598.20,62954424
"Sep 22, 2025",597.74,602.87,597.72,602.20,602.20,57154800
"Sep 19, 2025",597.33,600.05,595.85,599.35,598.66,58196100
"Sep 18, 2025",594.91,598.14,592.96,595.32,594.63,61069300
"Sep 17, 2025",591.10,591.75,584.37,590.00,589.32,69384800
"Sep 16, 2025",592.61,592.86,590.49,591.18,591.18,36204005
"Sep 15, 2025",588.44,591.79,588.29,591.68,591.68,44360300
"Sep 12, 2025",585.04,587.86,584.10,586.66,586.66,50745900
"Sep 11, 2025",583.24,584.88,581.62,584.08,584.08,44745800
"Sep 10, 2025",583.74,583.77,578.55,580.70,580.70,49308000
"Sep 9, 2025",579.65,580.93,577.04,580.51,580.51,42818716
"Sep 8, 2025",578.37,580.84,577.77,578.87,578.87,46371400
"Sep 5, 2025",580.49,581.12,571.53,576.06,576.06,68342500
"Sep 4, 2025",570.74,575.60,569.03,575.23,575.23,47526300
"Sep 3, 2025",569.23,571.70,566.73,570.07,570.07,54230200
"Sep 2, 2025",561.33,565.97,559.55,565.62,565.62,61613463
"Aug 29, 2025",574.66,575.03,568.54,570.40,570.40,55964200
"Aug 28, 2025",574.11,578.00,572.46,577.08,577.08,46787900
"Aug 27, 2025",571.59,574.41,570.37,573.49,573.49,36927100
"Aug 26, 2025",569.83,572.92,568.80,572.61,572.61,33476646
"Aug 25, 2025",570.40,573.29,569.16,570.32,570.32,34044700
"Aug 22, 2025",564.67,573.99,563.27,571.97,571.97,51502100
"Aug 21, 2025",564.35,566.49,560.98,563.28,563.28,46436900
"Aug 20, 2025",568.33,568.45,558.84,565.90,565.90,76781100
"Aug 19, 2025",576.37,576.56,568.25,569.28,569.28,52230088
