Ticker,Ticker_AsOf,H20,H60,H120,Regime_current,RegimeChange_last10,RegimeChange_note,Trend10D,Williams_Signal_last5,Williams_Level,Computed_on,Data_source
TNX,2025-12-16,0.558412749678331,0.46951733971125614,0.5068751515495793,RANDOM,YES,2025-12-16: RANDOM→PERSISTENT,UP,BULLISH,4.102,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\TNX_data.csv
DJI,2025-12-16,0.49086772090383207,0.5029796524582495,0.4483950362377168,RANDOM,YES,2025-12-15: PERSISTENT→RANDOM,FLAT,BEARISH,48886.86,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\DJI_data.csv
SPX,2025-12-16,0.5729698184865282,0.4887276615456594,0.47481507014994745,RANDOM,NO,,FLAT,BEARISH,6903.46,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\GSPC_data.csv
VIX,2025-12-16,0.5789302722020114,0.47563333250152867,0.45127132694820615,RANDOM,NO,,UP,BEARISH,17.85,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\VIX_data.csv
QQQ,2025-12-16,0.5458590530164225,0.5061843574950846,0.4901936047741097,RANDOM,YES,2025-12-16: PERSISTENT→RANDOM,DOWN,BEARISH,629.21,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\QQQ_data.csv
AAPL,2025-12-16,0.640015708980423,0.5496287782260474,0.4935356532163599,PERSISTENT,NO,,DOWN,BULLISH,276.15,2026-01-09 13:24,CSV:F:\xPy\TS\DATA\AAPL_data.csv
